iter	RMSE
0	5.68310559
1	5.650914346
2	5.616957844
3	5.583499692
4	5.551147576
5	5.52261273
6	5.497298846
7	5.46769818
8	5.437987459
9	5.412358398
10	5.387765315
11	5.363742747
12	5.340118115
13	5.316293672
14	5.291365677
15	5.26899972
16	5.244990228
17	5.22213844
18	5.202895124
19	5.179999797
20	5.157974235
21	5.136629332
22	5.117539456
23	5.095729752
24	5.078210167
25	5.06065713
26	5.044260541
27	5.027975301
28	5.008787763
29	4.990614313
30	4.973262815
31	4.957147661
32	4.939957434
33	4.923674997
34	4.907978857
35	4.892943801
36	4.877763678
37	4.862001104
38	4.847936363
39	4.833480555
40	4.819867307
41	4.806448254
42	4.791887204
43	4.777073521
44	4.764724591
45	4.752758774
46	4.739305177
47	4.727648091
48	4.716518967
49	4.704772067
50	4.694115396
51	4.681047884
52	4.670827028
53	4.659367426
54	4.649058558
55	4.638286704
56	4.629311676
57	4.618749465
58	4.608183623
59	4.599069129
60	4.589290853
61	4.579759079
62	4.570203418
63	4.561100957
64	4.552747779
65	4.544408731
66	4.535005205
67	4.52625268
68	4.517045639
69	4.507960887
70	4.498940667
71	4.491517592
72	4.483997953
73	4.475621945
74	4.467619245
75	4.459299721
76	4.451888692
77	4.444655372
78	4.437043554
79	4.430363166
80	4.422933599
81	4.41562711
82	4.408411951
83	4.401366411
84	4.395091008
85	4.388402929
86	4.381923252
87	4.375840748
88	4.368933327
89	4.362534692
90	4.356892241
91	4.350593331
92	4.34473116
93	4.339358391
94	4.33366498
95	4.32644683
96	4.321057443
97	4.315641949
98	4.309992373
99	4.304329029
100	4.298949747
101	4.293651994
102	4.288097675
103	4.283098007
104	4.278661493
105	4.273362512
106	4.268138718
107	4.263709089
108	4.258884352
109	4.253812873
110	4.248541976
111	4.243548341
112	4.239295396
113	4.235444115
114	4.230723424
115	4.225787508
116	4.221965399
117	4.216633751
118	4.21246417
119	4.207329929
120	4.203031349
121	4.198820846
122	4.194445509
123	4.18993131
124	4.184978743
125	4.180583827
126	4.176696587
127	4.173041859
128	4.168392996
129	4.164516921
130	4.160585678
131	4.156307121
132	4.152577663
133	4.14905676
134	4.14554792
135	4.140992351
136	4.137424951
137	4.134501682
138	4.130661968
139	4.126976416
140	4.123105514
141	4.119148709
142	4.116061041
143	4.112102304
144	4.108482344
145	4.104966983
146	4.101504046
147	4.098573285
148	4.095275219
149	4.091793015
150	4.088245204
151	4.085376942
152	4.082493755
153	4.079547978
154	4.076726989
155	4.073353225
156	4.070022483
157	4.066917243
158	4.065007843
159	4.061997455
160	4.059682131
161	4.057006169
162	4.05386097
163	4.051090321
164	4.048346044
165	4.045419119
166	4.042529204
167	4.040147507
168	4.037473702
169	4.034014627
170	4.031111261
171	4.028639417
172	4.025858459
173	4.023240879
174	4.020735304
175	4.017899105
176	4.015058726
177	4.012126688
178	4.008910698
179	4.00554106
180	4.002382543
181	3.99975098
182	3.997336457
183	3.99489307
184	3.992519135
185	3.989802839
186	3.987237394
187	3.9853085
188	3.983186736
189	3.981144981
190	3.978931698
191	3.976474982
192	3.974003614
193	3.971933268
194	3.969052198
195	3.967005432
196	3.964230178
197	3.961816668
198	3.959137195
199	3.956535378
200	3.954404157
201	3.952541009
202	3.950984774
203	3.949199824
204	3.94705524
205	3.944964091
206	3.943041038
207	3.940837114
208	3.938313766
209	3.935917599
210	3.93383974
211	3.931744496
212	3.929803515
213	3.927672787
214	3.925874027
215	3.924074773
216	3.922040672
217	3.919810946
218	3.918038937
219	3.916354395
220	3.914130708
221	3.912292947
222	3.910728495
223	3.908849765
224	3.907492441
225	3.905748277
226	3.904297093
227	3.902609474
228	3.900511098
229	3.898860029
230	3.897133052
231	3.895388695
232	3.893626863
233	3.891908219
234	3.89040571
235	3.889227192
236	3.887438242
237	3.885461523
238	3.883942339
239	3.882002529
240	3.880412625
241	3.878814285
242	3.877172029
243	3.875281075
244	3.873857124
245	3.872092284
246	3.870364124
247	3.86882621
248	3.866963529
249	3.865600861
250	3.864127757
251	3.862878693
252	3.861231981
253	3.859781987
254	3.857777231
255	3.856432855
256	3.85512874
257	3.853453571
258	3.851969983
259	3.850414264
260	3.84910531
261	3.847233025
262	3.846046595
263	3.844446813
264	3.843274935
265	3.841911315
266	3.840351723
267	3.838823761
268	3.836908048
269	3.835585917
270	3.833980699
271	3.832346084
272	3.830934701
273	3.829521353
274	3.828026178
275	3.826961283
276	3.825935812
277	3.824781096
278	3.823727585
279	3.822374431
280	3.820754145
281	3.819100144
282	3.817776533
283	3.816600035
284	3.815071243
285	3.813831758
286	3.812294683
287	3.811053558
288	3.809404602
289	3.808370697
290	3.807164757
291	3.806039938
292	3.805018456
293	3.803889207
294	3.80241143
295	3.801435845
296	3.799922505
297	3.798634357
298	3.797327265
299	3.796187968
300	3.794832989
301	3.793916925
302	3.792966086
303	3.791867563
304	3.790702879
305	3.789728843
306	3.788772741
307	3.788065676
308	3.786852682
309	3.785909628
310	3.784767673
311	3.783589791
312	3.782502558
313	3.781495657
314	3.78023108
315	3.778751848
316	3.777623722
317	3.776468436
318	3.775032682
319	3.774225652
320	3.773165178
321	3.772129409
322	3.771040973
323	3.769989054
324	3.768959157
325	3.76792918
326	3.766722059
327	3.765526751
328	3.764024611
329	3.76284687
330	3.761995748
331	3.761113613
332	3.760524593
333	3.759626647
334	3.758714811
335	3.757494939
336	3.756542105
337	3.755452544
338	3.754314738
339	3.753286248
340	3.752583616
341	3.751786338
342	3.751052104
343	3.7501305
344	3.749390488
345	3.74828872
346	3.74727414
347	3.746736209
348	3.745668901
349	3.744841765
350	3.743921359
351	3.74289429
352	3.741799749
353	3.740812756
354	3.740031077
355	3.739439087
356	3.738306216
357	3.736922418
358	3.736196252
359	3.73545714
360	3.734701154
361	3.734125023
362	3.733131429
363	3.732401343
364	3.731379344
365	3.730076266
366	3.729330264
367	3.728201592
368	3.727322024
369	3.726622665
370	3.725770106
371	3.724899818
372	3.7241856
373	3.723417662
374	3.722497044
375	3.721342382
376	3.72030013
377	3.719406783
378	3.718365146
379	3.717612567
380	3.71691054
381	3.715913376
382	3.715126866
383	3.714072865
384	3.713416669
385	3.712459013
386	3.711502135
387	3.710899958
388	3.710178251
389	3.709521987
390	3.70864994
391	3.7079532
392	3.707231974
393	3.706442553
394	3.705413788
395	3.704391042
396	3.703622903
397	3.702989397
398	3.702010233
399	3.70096896
400	3.700328528
401	3.699210634
402	3.698242575
403	3.697413258
404	3.696609709
405	3.695901308
406	3.695307474
407	3.694495953
408	3.693995153
409	3.693372416
410	3.692646266
411	3.691628948
412	3.690791312
413	3.689962478
414	3.689435216
415	3.688613831
416	3.68801872
417	3.687176642
418	3.68642539
419	3.685721342
420	3.685203467
421	3.684576558
422	3.683948973
423	3.683018904
424	3.682500349
425	3.681799024
426	3.681279964
427	3.680621759
428	3.67974363
429	3.679078514
430	3.678238481
431	3.677803436
432	3.676683283
433	3.675612405
434	3.674791647
435	3.674125915
436	3.673426845
437	3.672302736
438	3.671721809
439	3.671009708
440	3.670274148
441	3.669639668
442	3.668821527
443	3.668130189
444	3.667460581
445	3.666472995
446	3.665646003
447	3.665049284
448	3.664387471
449	3.663704925
450	3.663147754
451	3.662481924
452	3.662069007
453	3.661319534
454	3.660617202
455	3.659936685
456	3.659270827
457	3.658486826
458	3.657740893
459	3.656825995
460	3.656242264
461	3.655433735
462	3.65424248
463	3.653656916
464	3.65303006
465	3.652364398
466	3.651905852
467	3.651272339
468	3.650711295
469	3.650159681
470	3.649611214
471	3.648763231
472	3.648006686
473	3.647529709
474	3.647119834
475	3.64651714
476	3.645893784
477	3.645353507
478	3.64476104
479	3.644159987
480	3.643534854
481	3.643062389
482	3.642510477
483	3.642034266
484	3.64154853
485	3.640709361
486	3.639705561
487	3.63906761
488	3.63849536
489	3.637718562
490	3.637013248
491	3.636199752
492	3.635543489
493	3.634955138
494	3.634252592
495	3.633529106
496	3.632995288
497	3.632431698
498	3.631982386
499	3.631162009
500	3.630784596
501	3.630297841
502	3.629749835
503	3.629137355
504	3.628368111
505	3.627709967
506	3.627024671
507	3.626418137
508	3.625983872
509	3.625539244
510	3.624919829
511	3.624527928
512	3.624170391
513	3.623649964
514	3.623133943
515	3.62269565
516	3.621784727
517	3.621260655
518	3.620763554
519	3.62034933
520	3.619983607
521	3.619575116
522	3.618761638
523	3.61825301
524	3.617570471
525	3.617040534
526	3.616563787
527	3.61610829
528	3.615334722
529	3.614288604
530	3.61364788
531	3.613012014
532	3.612417172
533	3.612083217
534	3.611389396
535	3.610877208
536	3.610200423
537	3.609681734
538	3.609174889
539	3.608662676
540	3.608144912
541	3.607390263
542	3.606715673
543	3.606292918
544	3.605460276
545	3.604775723
546	3.603986763
547	3.603372595
548	3.602631674
549	3.601836622
550	3.601427276
551	3.600868637
552	3.600059623
553	3.599422242
554	3.598953376
555	3.598165418
556	3.597396941
557	3.596676869
558	3.596285851
559	3.595652355
560	3.595241126
561	3.594620902
562	3.594011925
563	3.593505293
564	3.593018319
565	3.592402132
566	3.591984343
567	3.591300779
568	3.590621181
569	3.590053912
570	3.589450822
571	3.589097497
572	3.588409863
573	3.58765613
574	3.587094842
575	3.586599118
576	3.586090039
577	3.585732067
578	3.585372153
579	3.584975827
580	3.584165547
581	3.583380498
582	3.582609246
583	3.582078992
584	3.58120292
585	3.58042325
586	3.579954951
587	3.579484796
588	3.579049692
589	3.578557822
590	3.578040328
591	3.577576801
592	3.576943135
593	3.576230333
594	3.575473553
595	3.574828726
596	3.574287211
597	3.573762509
598	3.573308287
599	3.572340341
